Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
muz-yg18-rng-001,18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243,"<p>Beautiful ring featuring a natural Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Ring,"colombian-emerald,natural-stone,certified,18k-gold,diamonds",TRUE,Size,6,,,,,MUZ-YG18-RNG-001,100,shopify,1,deny,manual,3000.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2026/02/IMG_1565.jpg,1,MUZEM 18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243 - Colombian Emerald Natural in 18k Yellow Gold,FALSE,18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN224,Shop 18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shipping i,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-YG18-RNG-001,Ring,"colombian-emerald,natural-stone,certified,18k-gold,diamonds",new,FALSE,18k Yellow Gold,Natural,Colombian,,,,g,,,3000.0,,active
muz-yg18-rng-002,18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08,"<p>Beautiful ring featuring a drop cut Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Ring,"colombian-emerald,natural-stone,certified,18k-gold",TRUE,Size,6,,,,,MUZ-YG18-RNG-002,100,shopify,1,deny,manual,20000.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2026/02/IMG_1612.jpg,1,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 - Colombian Emerald Drop Cut in 18k Yellow Gold,FALSE,18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 | ,Shop 18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shipping in Co,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-YG18-RNG-002,Ring,"colombian-emerald,natural-stone,certified,18k-gold",new,FALSE,18k Yellow Gold,Drop Cut,Colombian,,,,g,,,20000.0,,active
muz-yg18-rng-003,18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38,"<p>Beautiful ring featuring a oval Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Ring,"colombian-emerald,natural-stone,certified,18k-gold",TRUE,Size,6,,,,,MUZ-YG18-RNG-003,100,shopify,1,deny,manual,3000.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2026/02/IMG_1617.jpg,1,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 - Colombian Emerald Oval in 18k Yellow Gold,FALSE,18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 |,Shop 18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shipping in C,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-YG18-RNG-003,Ring,"colombian-emerald,natural-stone,certified,18k-gold",new,FALSE,18k Yellow Gold,Oval,Colombian,,,,g,,,3000.0,,active
muz-yg18-rng-004,18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458,"<p>Beautiful ring featuring a rectangular Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Ring,"colombian-emerald,natural-stone,certified,18k-gold",TRUE,Size,6,,,,,MUZ-YG18-RNG-004,100,shopify,1,deny,manual,2000.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2026/01/IMG_1557.jpg,1,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458 - Colombian Emerald Rectangular in 18k Yellow Gold,FALSE,18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN,Shop 18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shippin,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-YG18-RNG-004,Ring,"colombian-emerald,natural-stone,certified,18k-gold",new,FALSE,18k Yellow Gold,Rectangular,Colombian,,,,g,,,2000.0,,active
muz-sv925-err-005,Aretes en plata con Esmeralda Natural Tallada AR001,"<p>Beautiful earrings featuring a carved Colombian emerald set in Silver. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Earrings,"colombian-emerald,natural-stone,certified",TRUE,,,,,,,MUZ-SV925-ERR-005,100,shopify,1,deny,manual,500.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/05/AR001-1.jpg,1,MUZEM Aretes en plata con Esmeralda Natural Tallada AR001 - Colombian Emerald Carved in Silver,FALSE,Aretes en plata con Esmeralda Natural Tallada AR001 | Muzem Emeralds C,Shop Aretes en plata con Esmeralda Natural Tallada AR001 at Muzem Emeralds. Certified Colombian emeralds in Silver. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-SV925-ERR-005,Earrings,"colombian-emerald,natural-stone,certified",new,FALSE,Silver,Carved,Colombian,,,,g,,,500.0,,active
muz-yg18-brc-006,Bracelet in yellow gold PL94,"<p>Beautiful bracelet featuring a natural Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Bracelet,"colombian-emerald,natural-stone,certified,18k-gold",TRUE,,,,,,,MUZ-YG18-BRC-006,100,shopify,1,deny,manual,9500.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/03/PL94-3.jpg,1,MUZEM Bracelet in yellow gold PL94 - Colombian Emerald Natural in 18k Yellow Gold,FALSE,Bracelet in yellow gold PL94 | Muzem Emeralds Colombia,Shop Bracelet in yellow gold PL94 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-YG18-BRC-006,Bracelet,"colombian-emerald,natural-stone,certified,18k-gold",new,FALSE,18k Yellow Gold,Natural,Colombian,,,,g,,,9500.0,,active
muz-wg18-brc-007,Bracelet white gold PL86,"<p>Beautiful bracelet featuring a natural Colombian emerald set in White Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Bracelet,"colombian-emerald,natural-stone,certified,18k-gold",TRUE,,,,,,,MUZ-WG18-BRC-007,100,shopify,1,deny,manual,14500.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/05/PL86_9donofxwavl_2025-05-20-15-14-24.jpg,1,MUZEM Bracelet white gold PL86 - Colombian Emerald Natural in White Gold,FALSE,Bracelet white gold PL86 | Muzem Emeralds Colombia,Shop Bracelet white gold PL86 at Muzem Emeralds. Certified Colombian emeralds in White Gold. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-WG18-BRC-007,Bracelet,"colombian-emerald,natural-stone,certified,18k-gold",new,FALSE,White Gold,Natural,Colombian,,,,g,,,14500.0,,active
muz-oth-brc-008,Bracelet with natural Emerald PL06,"<p>Beautiful bracelet featuring a natural Colombian emerald set in Other. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Bracelet,"colombian-emerald,natural-stone,certified",TRUE,,,,,,,MUZ-OTH-BRC-008,100,shopify,1,deny,manual,625.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/05/PL06-3.jpg,1,MUZEM Bracelet with natural Emerald PL06 - Colombian Emerald Natural in Other,FALSE,Bracelet with natural Emerald PL06 | Muzem Emeralds Colombia,Shop Bracelet with natural Emerald PL06 at Muzem Emeralds. Certified Colombian emeralds in Other. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-OTH-BRC-008,Bracelet,"colombian-emerald,natural-stone,certified",new,FALSE,Other,Natural,Colombian,,,,g,,,625.0,,active
muz-oth-brc-009,Bracelet with natural Emerald PL07,"<p>Beautiful bracelet featuring a natural Colombian emerald set in Other. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Bracelet,"colombian-emerald,natural-stone,certified",TRUE,,,,,,,MUZ-OTH-BRC-009,100,shopify,1,deny,manual,625.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/05/PL07-1.jpg,1,MUZEM Bracelet with natural Emerald PL07 - Colombian Emerald Natural in Other,FALSE,Bracelet with natural Emerald PL07 | Muzem Emeralds Colombia,Shop Bracelet with natural Emerald PL07 at Muzem Emeralds. Certified Colombian emeralds in Other. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-OTH-BRC-009,Bracelet,"colombian-emerald,natural-stone,certified",new,FALSE,Other,Natural,Colombian,,,,g,,,625.0,,active
muz-oth-brc-010,Bracelet with natural Emerald PL08,"<p>Beautiful bracelet featuring a natural Colombian emerald set in Other. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Bracelet,"colombian-emerald,natural-stone,certified",TRUE,,,,,,,MUZ-OTH-BRC-010,100,shopify,1,deny,manual,750.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/05/PL03_6c0o305xrym_2025-05-28-09-51-56.jpg,1,MUZEM Bracelet with natural Emerald PL08 - Colombian Emerald Natural in Other,FALSE,Bracelet with natural Emerald PL08 | Muzem Emeralds Colombia,Shop Bracelet with natural Emerald PL08 at Muzem Emeralds. Certified Colombian emeralds in Other. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-OTH-BRC-010,Bracelet,"colombian-emerald,natural-stone,certified",new,FALSE,Other,Natural,Colombian,,,,g,,,750.0,,active
muz-yg18-brc-011,Bracelet yellow gold PL143,"<p>Beautiful bracelet featuring a natural Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.</p>",Muzem Emeralds,Bracelet,"colombian-emerald,natural-stone,certified,18k-gold",TRUE,,,,,,,MUZ-YG18-BRC-011,100,shopify,1,deny,manual,6000.0,,TRUE,TRUE,,https://muzem.co/wp-content/uploads/2025/05/PL143_75rvzfe81p9_2025-05-30-10-28-38.jpg,1,MUZEM Bracelet yellow gold PL143 - Colombian Emerald Natural in 18k Yellow Gold,FALSE,Bracelet yellow gold PL143 | Muzem Emeralds Colombia,Shop Bracelet yellow gold PL143 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shipping in Colombia.,Jewelry > Fine Jewelry > Gemstone Jewelry,unisex,adult,MUZ-YG18-BRC-011,Bracelet,"colombian-emerald,natural-stone,certified,18k-gold",new,FALSE,18k Yellow Gold,Natural,Colombian,,,,g,,,6000.0,,active
