product_id,title,jewelry_type,material,category,regular_price,sale_price,stock_status,url,image_url,seo_filename,local_image_path,scraped_at
MUZEM_001,18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243,Ring,18k Yellow Gold,Yellow Gold,12.000.000,12.000.000,In stock,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-colombian-natural-emerald-and-diamonds-an2243/,https://muzem.co/wp-content/uploads/2026/02/IMG_1565.jpg,MUZEM_001_18k_Yellow_Gold_Ring_with_Colombian_Natural_Emeral.jpg,/mnt/okcomputer/output/raw_images/MUZEM_001_18k_Yellow_Gold_Ring_with_Colombian_Natural_Emeral.jpg,2026-02-22T02:01:25.821758
MUZEM_002,18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08,Ring,18k Yellow Gold,Yellow Gold,80.000.000,80.000.000,In stock,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-natural-colombian-emerald-drop-cut-m-an08/,https://muzem.co/wp-content/uploads/2026/02/IMG_1612.jpg,MUZEM_002_18k_Yellow_Gold_Ring_with_Natural_Colombian_Emeral.jpg,/mnt/okcomputer/output/raw_images/MUZEM_002_18k_Yellow_Gold_Ring_with_Natural_Colombian_Emeral.jpg,2026-02-22T02:01:25.821758
MUZEM_003,18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38,Ring,18k Yellow Gold,Yellow Gold,12.000.000,12.000.000,In stock,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-natural-colombian-emerald-oval-size-m-an38/,https://muzem.co/wp-content/uploads/2026/02/IMG_1617.jpg,MUZEM_003_18k_Yellow_Gold_Ring_with_Natural_Colombian_Emeral.jpg,/mnt/okcomputer/output/raw_images/MUZEM_003_18k_Yellow_Gold_Ring_with_Natural_Colombian_Emeral.jpg,2026-02-22T02:01:25.821758
MUZEM_004,18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458,Ring,18k Yellow Gold,Yellow Gold,8.000.000,8.000.000,In stock,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-natural-colombian-emerald-rectangular-cut-an2458/,https://muzem.co/wp-content/uploads/2026/01/IMG_1557.jpg,MUZEM_004_18k_Yellow_Gold_Ring_with_Natural_Colombian_Emeral.jpg,/mnt/okcomputer/output/raw_images/MUZEM_004_18k_Yellow_Gold_Ring_with_Natural_Colombian_Emeral.jpg,2026-02-22T02:01:25.821758
MUZEM_005,Aretes en plata con Esmeralda Natural Tallada AR001,Earrings,Silver,Silver,2.000.000,2.000.000.,In stock,https://muzem.co/en/shop/silver/silver-earrings/aretes-en-plata-con-esmeralda-natural-tallada-ar001/,https://muzem.co/wp-content/uploads/2025/05/AR001-1.jpg,MUZEM_005_Aretes_en_plata_con_Esmeralda_Natural_Tallada_AR00.jpg,/mnt/okcomputer/output/raw_images/MUZEM_005_Aretes_en_plata_con_Esmeralda_Natural_Tallada_AR00.jpg,2026-02-22T02:01:25.821758
MUZEM_006,Bracelet in yellow gold PL94,Bracelet,18k Yellow Gold,Yellow Gold,38.000.000,38.000.000.,In stock,https://muzem.co/en/shop/yellow-gold/yellow-gold-bracelets/bracelet-in-yellow-gold-pl94/,https://muzem.co/wp-content/uploads/2025/03/PL94-3.jpg,MUZEM_006_Bracelet_in_yellow_gold_PL94.jpg,/mnt/okcomputer/output/raw_images/MUZEM_006_Bracelet_in_yellow_gold_PL94.jpg,2026-02-22T02:01:25.821758
MUZEM_007,Bracelet white gold PL86,Bracelet,White Gold,,58.000.000,58.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/round/bracelet-white-gold-pl86/,https://muzem.co/wp-content/uploads/2025/05/PL86_9donofxwavl_2025-05-20-15-14-24.jpg,MUZEM_007_Bracelet_white_gold_PL86.jpg,/mnt/okcomputer/output/raw_images/MUZEM_007_Bracelet_white_gold_PL86.jpg,2026-02-22T02:01:25.821758
MUZEM_008,Bracelet with natural Emerald PL06,Bracelet,Other,Silver,2.500.000,2.500.000.,In stock,https://muzem.co/en/shop/silver/silver-bracelets/bracelet-with-natural-emerald-pl06/,https://muzem.co/wp-content/uploads/2025/05/PL06-3.jpg,MUZEM_008_Bracelet_with_natural_Emerald_PL06.jpg,/mnt/okcomputer/output/raw_images/MUZEM_008_Bracelet_with_natural_Emerald_PL06.jpg,2026-02-22T02:01:25.821758
MUZEM_009,Bracelet with natural Emerald PL07,Bracelet,Other,Silver,2.500.000,2.500.000.,In stock,https://muzem.co/en/shop/silver/silver-bracelets/bracelet-with-natural-emerald-pl07/,https://muzem.co/wp-content/uploads/2025/05/PL07-1.jpg,MUZEM_009_Bracelet_with_natural_Emerald_PL07.jpg,/mnt/okcomputer/output/raw_images/MUZEM_009_Bracelet_with_natural_Emerald_PL07.jpg,2026-02-22T02:01:25.821758
MUZEM_010,Bracelet with natural Emerald PL08,Bracelet,Other,Silver,3.000.000,3.000.000.,In stock,https://muzem.co/en/shop/silver/silver-bracelets/bracelet-with-natural-emerald-pl08/,https://muzem.co/wp-content/uploads/2025/05/PL03_6c0o305xrym_2025-05-28-09-51-56.jpg,MUZEM_010_Bracelet_with_natural_Emerald_PL08.jpg,/mnt/okcomputer/output/raw_images/MUZEM_010_Bracelet_with_natural_Emerald_PL08.jpg,2026-02-22T02:01:25.821758
MUZEM_011,Bracelet yellow gold PL143,Bracelet,18k Yellow Gold,,24.000.000,24.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/oval/bracelet-yellow-gold-pl143/,https://muzem.co/wp-content/uploads/2025/05/PL143_75rvzfe81p9_2025-05-30-10-28-38.jpg,MUZEM_011_Bracelet_yellow_gold_PL143.jpg,/mnt/okcomputer/output/raw_images/MUZEM_011_Bracelet_yellow_gold_PL143.jpg,2026-02-22T02:01:25.821758
MUZEM_012,Bracelet yellow gold PL80,Bracelet,18k Yellow Gold,,15.000.000,15.000.000.,In stock,https://muzem.co/en/shop/stones-and-their-shapes/emerald/bracelet-yellow-gold-pl80/,https://muzem.co/wp-content/uploads/2025/05/PL80-4.jpg,MUZEM_012_Bracelet_yellow_gold_PL80.jpg,/mnt/okcomputer/output/raw_images/MUZEM_012_Bracelet_yellow_gold_PL80.jpg,2026-02-22T02:01:25.821758
MUZEM_013,Chain in white gold CD1401,Other,White Gold,White Gold,1.100.000,1.100.000.,In stock,https://muzem.co/en/shop/white-gold/chains-in-white-gold/chain-in-white-gold-cd1401/,https://muzem.co/wp-content/uploads/2025/03/CD1401-2.jpg,MUZEM_013_Chain_in_white_gold_CD1401.jpg,/mnt/okcomputer/output/raw_images/MUZEM_013_Chain_in_white_gold_CD1401.jpg,2026-02-22T02:01:25.821758
MUZEM_014,Chain in white gold CD1553,Other,White Gold,White Gold,1.500.000,1.500.000.,In stock,https://muzem.co/en/shop/white-gold/chains-in-white-gold/chain-in-white-gold-cd1553/,https://muzem.co/wp-content/uploads/2025/03/CD1553-1.jpg,MUZEM_014_Chain_in_white_gold_CD1553.jpg,/mnt/okcomputer/output/raw_images/MUZEM_014_Chain_in_white_gold_CD1553.jpg,2026-02-22T02:01:25.821758
MUZEM_015,Earrings in silver AR005,Ring,Silver,Silver,12.000.000,12.000.000.,In stock,https://muzem.co/en/shop/silver/silver-earrings/earrings-in-silver-ar005/,https://muzem.co/wp-content/uploads/2025/06/AR005-4.jpg,MUZEM_015_Earrings_in_silver_AR005.jpg,/mnt/okcomputer/output/raw_images/MUZEM_015_Earrings_in_silver_AR005.jpg,2026-02-22T02:01:25.821758
