product_id,title,url,meta_title,meta_description,og_title,og_type,og_url,og_image,og_description,og_site_name,og_price_amount,og_price_currency,og_availability,og_brand,twitter_card,twitter_site,twitter_title,twitter_description,twitter_image,twitter_label1,twitter_data1,twitter_label2,twitter_data2
MUZEM_001,18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-colombian-natural-emerald-and-diamonds-an2243/,Yellow Gold Ring Emerald and Diamonds | Muzem Emeralds,Discover 18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243 - Certified Colombian emerald ring crafted in 18k Yellow Gold. Free shipping...,18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243,product,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-colombian-natural-emerald-and-diamonds-an2243/,https://muzem.co/wp-content/uploads/2026/02/IMG_1565.jpg,Discover 18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243 - Certified Colombian emerald ring crafted in 18k Yellow Gold. Free shipping...,Muzem Emeralds,12000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN224,Discover 18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243 - Certified Colombian emerald ring crafted in 18k Yellow Gold. Free shipping...,https://muzem.co/wp-content/uploads/2026/02/IMG_1565.jpg,Price,"$12,000,000 COP",Availability,In Stock
MUZEM_002,18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-natural-colombian-emerald-drop-cut-m-an08/,Yellow Gold Ring Emerald Drop Cut | Muzem Emeralds,Discover 18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 - Certified Colombian emerald ring crafted in 18k Yellow Gold. Free shipping. 30...,18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08,product,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-natural-colombian-emerald-drop-cut-m-an08/,https://muzem.co/wp-content/uploads/2026/02/IMG_1612.jpg,Discover 18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 - Certified Colombian emerald ring crafted in 18k Yellow Gold. Free shipping. 30...,Muzem Emeralds,80000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08,Discover 18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 - Certified Colombian emerald ring crafted in 18k Yellow Gold. Free shipping. 30...,https://muzem.co/wp-content/uploads/2026/02/IMG_1612.jpg,Price,"$80,000,000 COP",Availability,In Stock
MUZEM_003,18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-natural-colombian-emerald-oval-size-m-an38/,Yellow Gold Ring Emerald Oval Size | Muzem Emeralds,18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted 18k Yellow Gold ring....,18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38,product,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-natural-colombian-emerald-oval-size-m-an38/,https://muzem.co/wp-content/uploads/2026/02/IMG_1617.jpg,18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted 18k Yellow Gold ring....,Muzem Emeralds,12000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38,18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted 18k Yellow Gold ring....,https://muzem.co/wp-content/uploads/2026/02/IMG_1617.jpg,Price,"$12,000,000 COP",Availability,In Stock
MUZEM_004,18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-natural-colombian-emerald-rectangular-cut-an2458/,Yellow Gold Ring Emerald Rectangular Cut | Muzem Emeralds,18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted 18k Yellow Gold...,18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458,product,https://muzem.co/en/shop/yellow-gold/18k-yellow-gold-ring-with-natural-colombian-emerald-rectangular-cut-an2458/,https://muzem.co/wp-content/uploads/2026/01/IMG_1557.jpg,18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted 18k Yellow Gold...,Muzem Emeralds,8000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN,18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted 18k Yellow Gold...,https://muzem.co/wp-content/uploads/2026/01/IMG_1557.jpg,Price,"$8,000,000 COP",Availability,In Stock
MUZEM_005,Aretes en plata con Esmeralda Natural Tallada AR001,https://muzem.co/en/shop/silver/silver-earrings/aretes-en-plata-con-esmeralda-natural-tallada-ar001/,Aretes en plata con Esmeralda Tallada | Muzem Emeralds,Shop Aretes en plata con Esmeralda Natural Tallada AR001 at Muzem Emeralds. Authentic Colombian emerald earrings in Silver. 4th generation family jewelry fro...,Aretes en plata con Esmeralda Natural Tallada AR001,product,https://muzem.co/en/shop/silver/silver-earrings/aretes-en-plata-con-esmeralda-natural-tallada-ar001/,https://muzem.co/wp-content/uploads/2025/05/AR001-1.jpg,Shop Aretes en plata con Esmeralda Natural Tallada AR001 at Muzem Emeralds. Authentic Colombian emerald earrings in Silver. 4th generation family jewelry fro...,Muzem Emeralds,1400000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,Aretes en plata con Esmeralda Natural Tallada AR001,Shop Aretes en plata con Esmeralda Natural Tallada AR001 at Muzem Emeralds. Authentic Colombian emerald earrings in Silver. 4th generation family jewelry fro...,https://muzem.co/wp-content/uploads/2025/05/AR001-1.jpg,Price,"$1,400,000 COP",Availability,In Stock
MUZEM_006,Bracelet in yellow gold PL94,https://muzem.co/en/shop/yellow-gold/yellow-gold-bracelets/bracelet-in-yellow-gold-pl94/,Bracelet in yellow gold PL94 | Muzem Emeralds,Bracelet in yellow gold PL94 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted 18k Yellow Gold bracelet. Certificate of authenticity included.,Bracelet in yellow gold PL94,product,https://muzem.co/en/shop/yellow-gold/yellow-gold-bracelets/bracelet-in-yellow-gold-pl94/,https://muzem.co/wp-content/uploads/2025/03/PL94-3.jpg,Bracelet in yellow gold PL94 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted 18k Yellow Gold bracelet. Certificate of authenticity included.,Muzem Emeralds,36000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,Bracelet in yellow gold PL94,Bracelet in yellow gold PL94 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted 18k Yellow Gold bracelet. Certificate of authenticity included.,https://muzem.co/wp-content/uploads/2025/03/PL94-3.jpg,Price,"$36,000,000 COP",Availability,In Stock
MUZEM_007,Bracelet white gold PL86,https://muzem.co/en/shop/stones-and-their-shapes/round/bracelet-white-gold-pl86/,Bracelet white gold PL86 | Muzem Emeralds,Discover Bracelet white gold PL86 - Certified Colombian emerald bracelet crafted in White Gold. Free shipping. 30-day returns. Muzem Emeralds.,Bracelet white gold PL86,product,https://muzem.co/en/shop/stones-and-their-shapes/round/bracelet-white-gold-pl86/,https://muzem.co/wp-content/uploads/2025/05/PL86_9donofxwavl_2025-05-20-15-14-24.jpg,Discover Bracelet white gold PL86 - Certified Colombian emerald bracelet crafted in White Gold. Free shipping. 30-day returns. Muzem Emeralds.,Muzem Emeralds,40000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,Bracelet white gold PL86,Discover Bracelet white gold PL86 - Certified Colombian emerald bracelet crafted in White Gold. Free shipping. 30-day returns. Muzem Emeralds.,https://muzem.co/wp-content/uploads/2025/05/PL86_9donofxwavl_2025-05-20-15-14-24.jpg,Price,"$40,000,000 COP",Availability,In Stock
MUZEM_008,Bracelet with natural Emerald PL06,https://muzem.co/en/shop/silver/silver-bracelets/bracelet-with-natural-emerald-pl06/,Bracelet natural Emerald PL06 | Muzem Emeralds,Bracelet with natural Emerald PL06 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted Other bracelet. Certificate of authenticity included.,Bracelet with natural Emerald PL06,product,https://muzem.co/en/shop/silver/silver-bracelets/bracelet-with-natural-emerald-pl06/,https://muzem.co/wp-content/uploads/2025/05/PL06-3.jpg,Bracelet with natural Emerald PL06 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted Other bracelet. Certificate of authenticity included.,Muzem Emeralds,1600000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,Bracelet with natural Emerald PL06,Bracelet with natural Emerald PL06 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted Other bracelet. Certificate of authenticity included.,https://muzem.co/wp-content/uploads/2025/05/PL06-3.jpg,Price,"$1,600,000 COP",Availability,In Stock
MUZEM_009,Bracelet with natural Emerald PL07,https://muzem.co/en/shop/silver/silver-bracelets/bracelet-with-natural-emerald-pl07/,Bracelet natural Emerald PL07 | Muzem Emeralds,Discover Bracelet with natural Emerald PL07 - Certified Colombian emerald bracelet crafted in Other. Free shipping. 30-day returns. Muzem Emeralds.,Bracelet with natural Emerald PL07,product,https://muzem.co/en/shop/silver/silver-bracelets/bracelet-with-natural-emerald-pl07/,https://muzem.co/wp-content/uploads/2025/05/PL07-1.jpg,Discover Bracelet with natural Emerald PL07 - Certified Colombian emerald bracelet crafted in Other. Free shipping. 30-day returns. Muzem Emeralds.,Muzem Emeralds,1600000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,Bracelet with natural Emerald PL07,Discover Bracelet with natural Emerald PL07 - Certified Colombian emerald bracelet crafted in Other. Free shipping. 30-day returns. Muzem Emeralds.,https://muzem.co/wp-content/uploads/2025/05/PL07-1.jpg,Price,"$1,600,000 COP",Availability,In Stock
MUZEM_010,Bracelet with natural Emerald PL08,https://muzem.co/en/shop/silver/silver-bracelets/bracelet-with-natural-emerald-pl08/,Bracelet natural Emerald PL08 | Muzem Emeralds,Bracelet with natural Emerald PL08 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted Other bracelet. Certificate of authenticity included.,Bracelet with natural Emerald PL08,product,https://muzem.co/en/shop/silver/silver-bracelets/bracelet-with-natural-emerald-pl08/,https://muzem.co/wp-content/uploads/2025/05/PL03_6c0o305xrym_2025-05-28-09-51-56.jpg,Bracelet with natural Emerald PL08 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted Other bracelet. Certificate of authenticity included.,Muzem Emeralds,2000000,COP,instock,Muzem Emeralds,summary_large_image,@muzem_emeralds,Bracelet with natural Emerald PL08,Bracelet with natural Emerald PL08 - Premium Colombian emerald jewelry by Muzem Emeralds. Handcrafted Other bracelet. Certificate of authenticity included.,https://muzem.co/wp-content/uploads/2025/05/PL03_6c0o305xrym_2025-05-28-09-51-56.jpg,Price,"$2,000,000 COP",Availability,In Stock
