sku,product-id,product-id-type,price,minimum-seller-allowed-price,maximum-seller-allowed-price,item-condition,quantity,add-delete,will-ship-internationally,expedited-shipping,standard-plus,item-note,fulfillment-channel,product-tax-code,leadtime-to-ship,merchant-shipping-group
MUZ-YG18-RNG-001,,,3000.0,2700.0,4500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-002,,,20000.0,18000.0,30000.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-003,,,3000.0,2700.0,4500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-004,,,2000.0,1800.0,3000.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-ERR-005,,,500.0,450.0,750.0,11,1,a,n,n,,Certified Colombian Emerald Earrings in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-BRC-006,,,9500.0,8550.0,14250.0,11,1,a,n,n,,Certified Colombian Emerald Bracelet in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-BRC-007,,,14500.0,13050.0,21750.0,11,1,a,n,n,,Certified Colombian Emerald Bracelet in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-OTH-BRC-008,,,625.0,562.5,937.5,11,1,a,n,n,,Certified Colombian Emerald Bracelet in Other. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-OTH-BRC-009,,,625.0,562.5,937.5,11,1,a,n,n,,Certified Colombian Emerald Bracelet in Other. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-OTH-BRC-010,,,750.0,675.0,1125.0,11,1,a,n,n,,Certified Colombian Emerald Bracelet in Other. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-BRC-011,,,6000.0,5400.0,9000.0,11,1,a,n,n,,Certified Colombian Emerald Bracelet in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-BRC-012,,,3750.0,3375.0,5625.0,11,1,a,n,n,,Certified Colombian Emerald Bracelet in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-CHN-013,,,275.0,247.5,412.5,11,1,a,n,n,,Certified Colombian Emerald Chain in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-CHN-014,,,375.0,337.5,562.5,11,1,a,n,n,,Certified Colombian Emerald Chain in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-015,,,3000.0,2700.0,4500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-016,,,5000.0,4500.0,7500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-017,,,450.0,405.0,675.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-018,,,450.0,405.0,675.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-019,,,625.0,562.5,937.5,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-020,,,625.0,562.5,937.5,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-021,,,300.0,270.0,450.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-022,,,300.0,270.0,450.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-SV925-RNG-023,,,750.0,675.0,1125.0,11,1,a,n,n,,Certified Colombian Emerald Ring in Silver. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-WG18-RNG-024,,,1000.0,900.0,1500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in White Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-025,,,3000.0,2700.0,4500.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-026,,,3750.0,3375.0,5625.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-027,,,1625.0,1462.5,2437.5,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-028,,,3750.0,3375.0,5625.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
