sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels
MUZ-YG18-RNG-001,,Default,simple,Default Category/Rings/Gold Jewelry,base,18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243,"Beautiful ring featuring a natural Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.","Beautiful ring featuring a natural Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.",0.1,1,Taxable Goods,"Catalog, Search",3000.0,,,,muz-yg18-rng-001,18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN224,"colombian-emerald, natural-stone, certified, 18k-gold, diamonds",Shop 18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shipping i,https://muzem.co/wp-content/uploads/2026/02/IMG_1565.jpg,MUZEM 18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243 - Colombian Emerald Natural in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/02/IMG_1565.jpg,MUZEM 18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243 - Colombian Emerald Natural in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/02/IMG_1565.jpg,MUZEM 18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243 - Colombian Emerald Natural in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/02/IMG_1565.jpg,MUZEM 18k Yellow Gold Ring with Colombian Natural Emerald and Diamonds AN2243 - Colombian Emerald Natural in 18k Yellow Gold,2026-02-22 02:05:23,2026-02-22 02:05:23,,,Block after Info Column,,,,,,,,,,,,Colombia,"material=18k Yellow Gold,emerald_type=Natural,jewelry_type=Ring,brand=Muzem Emeralds",1,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
MUZ-YG18-RNG-002,,Default,simple,Default Category/Rings/Gold Jewelry,base,18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08,"Beautiful ring featuring a drop cut Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.","Beautiful ring featuring a drop cut Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.",0.1,1,Taxable Goods,"Catalog, Search",20000.0,,,,muz-yg18-rng-002,18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 | ,"colombian-emerald, natural-stone, certified, 18k-gold",Shop 18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shipping in Co,https://muzem.co/wp-content/uploads/2026/02/IMG_1612.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 - Colombian Emerald Drop Cut in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/02/IMG_1612.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 - Colombian Emerald Drop Cut in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/02/IMG_1612.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 - Colombian Emerald Drop Cut in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/02/IMG_1612.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Drop Cut M-AN08 - Colombian Emerald Drop Cut in 18k Yellow Gold,2026-02-22 02:05:23,2026-02-22 02:05:23,,,Block after Info Column,,,,,,,,,,,,Colombia,"material=18k Yellow Gold,emerald_type=Drop Cut,jewelry_type=Ring,brand=Muzem Emeralds",1,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
MUZ-YG18-RNG-003,,Default,simple,Default Category/Rings/Gold Jewelry,base,18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38,"Beautiful ring featuring a oval Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.","Beautiful ring featuring a oval Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.",0.1,1,Taxable Goods,"Catalog, Search",3000.0,,,,muz-yg18-rng-003,18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 |,"colombian-emerald, natural-stone, certified, 18k-gold",Shop 18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shipping in C,https://muzem.co/wp-content/uploads/2026/02/IMG_1617.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 - Colombian Emerald Oval in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/02/IMG_1617.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 - Colombian Emerald Oval in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/02/IMG_1617.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 - Colombian Emerald Oval in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/02/IMG_1617.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Oval Size M-AN38 - Colombian Emerald Oval in 18k Yellow Gold,2026-02-22 02:05:23,2026-02-22 02:05:23,,,Block after Info Column,,,,,,,,,,,,Colombia,"material=18k Yellow Gold,emerald_type=Oval,jewelry_type=Ring,brand=Muzem Emeralds",1,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
MUZ-YG18-RNG-004,,Default,simple,Default Category/Rings/Gold Jewelry,base,18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458,"Beautiful ring featuring a rectangular Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.","Beautiful ring featuring a rectangular Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.",0.1,1,Taxable Goods,"Catalog, Search",2000.0,,,,muz-yg18-rng-004,18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN,"colombian-emerald, natural-stone, certified, 18k-gold",Shop 18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shippin,https://muzem.co/wp-content/uploads/2026/01/IMG_1557.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458 - Colombian Emerald Rectangular in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/01/IMG_1557.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458 - Colombian Emerald Rectangular in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/01/IMG_1557.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458 - Colombian Emerald Rectangular in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2026/01/IMG_1557.jpg,MUZEM 18k Yellow Gold Ring with Natural Colombian Emerald Rectangular Cut AN2458 - Colombian Emerald Rectangular in 18k Yellow Gold,2026-02-22 02:05:23,2026-02-22 02:05:23,,,Block after Info Column,,,,,,,,,,,,Colombia,"material=18k Yellow Gold,emerald_type=Rectangular,jewelry_type=Ring,brand=Muzem Emeralds",1,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
MUZ-SV925-ERR-005,,Default,simple,Default Category/Earringss/Silver Jewelry,base,Aretes en plata con Esmeralda Natural Tallada AR001,"Beautiful earrings featuring a carved Colombian emerald set in Silver. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.","Beautiful earrings featuring a carved Colombian emerald set in Silver. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.",0.1,1,Taxable Goods,"Catalog, Search",500.0,,,,muz-sv925-err-005,Aretes en plata con Esmeralda Natural Tallada AR001 | Muzem Emeralds C,"colombian-emerald, natural-stone, certified",Shop Aretes en plata con Esmeralda Natural Tallada AR001 at Muzem Emeralds. Certified Colombian emeralds in Silver. Free shipping in Colombia.,https://muzem.co/wp-content/uploads/2025/05/AR001-1.jpg,MUZEM Aretes en plata con Esmeralda Natural Tallada AR001 - Colombian Emerald Carved in Silver,https://muzem.co/wp-content/uploads/2025/05/AR001-1.jpg,MUZEM Aretes en plata con Esmeralda Natural Tallada AR001 - Colombian Emerald Carved in Silver,https://muzem.co/wp-content/uploads/2025/05/AR001-1.jpg,MUZEM Aretes en plata con Esmeralda Natural Tallada AR001 - Colombian Emerald Carved in Silver,https://muzem.co/wp-content/uploads/2025/05/AR001-1.jpg,MUZEM Aretes en plata con Esmeralda Natural Tallada AR001 - Colombian Emerald Carved in Silver,2026-02-22 02:05:23,2026-02-22 02:05:23,,,Block after Info Column,,,,,,,,,,,,Colombia,"material=Silver,emerald_type=Carved,jewelry_type=Earrings,brand=Muzem Emeralds",1,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
MUZ-YG18-BRC-006,,Default,simple,Default Category/Bracelets/Gold Jewelry,base,Bracelet in yellow gold PL94,"Beautiful bracelet featuring a natural Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.","Beautiful bracelet featuring a natural Colombian emerald set in 18k Yellow Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.",0.1,1,Taxable Goods,"Catalog, Search",9500.0,,,,muz-yg18-brc-006,Bracelet in yellow gold PL94 | Muzem Emeralds Colombia,"colombian-emerald, natural-stone, certified, 18k-gold",Shop Bracelet in yellow gold PL94 at Muzem Emeralds. Certified Colombian emeralds in 18k Yellow Gold. Free shipping in Colombia.,https://muzem.co/wp-content/uploads/2025/03/PL94-3.jpg,MUZEM Bracelet in yellow gold PL94 - Colombian Emerald Natural in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2025/03/PL94-3.jpg,MUZEM Bracelet in yellow gold PL94 - Colombian Emerald Natural in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2025/03/PL94-3.jpg,MUZEM Bracelet in yellow gold PL94 - Colombian Emerald Natural in 18k Yellow Gold,https://muzem.co/wp-content/uploads/2025/03/PL94-3.jpg,MUZEM Bracelet in yellow gold PL94 - Colombian Emerald Natural in 18k Yellow Gold,2026-02-22 02:05:23,2026-02-22 02:05:23,,,Block after Info Column,,,,,,,,,,,,Colombia,"material=18k Yellow Gold,emerald_type=Natural,jewelry_type=Bracelet,brand=Muzem Emeralds",1,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
MUZ-WG18-BRC-007,,Default,simple,Default Category/Bracelets/Gold Jewelry,base,Bracelet white gold PL86,"Beautiful bracelet featuring a natural Colombian emerald set in White Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.","Beautiful bracelet featuring a natural Colombian emerald set in White Gold. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.",0.1,1,Taxable Goods,"Catalog, Search",14500.0,,,,muz-wg18-brc-007,Bracelet white gold PL86 | Muzem Emeralds Colombia,"colombian-emerald, natural-stone, certified, 18k-gold",Shop Bracelet white gold PL86 at Muzem Emeralds. Certified Colombian emeralds in White Gold. Free shipping in Colombia.,https://muzem.co/wp-content/uploads/2025/05/PL86_9donofxwavl_2025-05-20-15-14-24.jpg,MUZEM Bracelet white gold PL86 - Colombian Emerald Natural in White Gold,https://muzem.co/wp-content/uploads/2025/05/PL86_9donofxwavl_2025-05-20-15-14-24.jpg,MUZEM Bracelet white gold PL86 - Colombian Emerald Natural in White Gold,https://muzem.co/wp-content/uploads/2025/05/PL86_9donofxwavl_2025-05-20-15-14-24.jpg,MUZEM Bracelet white gold PL86 - Colombian Emerald Natural in White Gold,https://muzem.co/wp-content/uploads/2025/05/PL86_9donofxwavl_2025-05-20-15-14-24.jpg,MUZEM Bracelet white gold PL86 - Colombian Emerald Natural in White Gold,2026-02-22 02:05:23,2026-02-22 02:05:23,,,Block after Info Column,,,,,,,,,,,,Colombia,"material=White Gold,emerald_type=Natural,jewelry_type=Bracelet,brand=Muzem Emeralds",1,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
MUZ-OTH-BRC-008,,Default,simple,Default Category/Bracelets/Fine Jewelry,base,Bracelet with natural Emerald PL06,"Beautiful bracelet featuring a natural Colombian emerald set in Other. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.","Beautiful bracelet featuring a natural Colombian emerald set in Other. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.",0.1,1,Taxable Goods,"Catalog, Search",625.0,,,,muz-oth-brc-008,Bracelet with natural Emerald PL06 | Muzem Emeralds Colombia,"colombian-emerald, natural-stone, certified",Shop Bracelet with natural Emerald PL06 at Muzem Emeralds. Certified Colombian emeralds in Other. Free shipping in Colombia.,https://muzem.co/wp-content/uploads/2025/05/PL06-3.jpg,MUZEM Bracelet with natural Emerald PL06 - Colombian Emerald Natural in Other,https://muzem.co/wp-content/uploads/2025/05/PL06-3.jpg,MUZEM Bracelet with natural Emerald PL06 - Colombian Emerald Natural in Other,https://muzem.co/wp-content/uploads/2025/05/PL06-3.jpg,MUZEM Bracelet with natural Emerald PL06 - Colombian Emerald Natural in Other,https://muzem.co/wp-content/uploads/2025/05/PL06-3.jpg,MUZEM Bracelet with natural Emerald PL06 - Colombian Emerald Natural in Other,2026-02-22 02:05:23,2026-02-22 02:05:23,,,Block after Info Column,,,,,,,,,,,,Colombia,"material=Other,emerald_type=Natural,jewelry_type=Bracelet,brand=Muzem Emeralds",1,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
MUZ-OTH-BRC-009,,Default,simple,Default Category/Bracelets/Fine Jewelry,base,Bracelet with natural Emerald PL07,"Beautiful bracelet featuring a natural Colombian emerald set in Other. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.","Beautiful bracelet featuring a natural Colombian emerald set in Other. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.",0.1,1,Taxable Goods,"Catalog, Search",625.0,,,,muz-oth-brc-009,Bracelet with natural Emerald PL07 | Muzem Emeralds Colombia,"colombian-emerald, natural-stone, certified",Shop Bracelet with natural Emerald PL07 at Muzem Emeralds. Certified Colombian emeralds in Other. Free shipping in Colombia.,https://muzem.co/wp-content/uploads/2025/05/PL07-1.jpg,MUZEM Bracelet with natural Emerald PL07 - Colombian Emerald Natural in Other,https://muzem.co/wp-content/uploads/2025/05/PL07-1.jpg,MUZEM Bracelet with natural Emerald PL07 - Colombian Emerald Natural in Other,https://muzem.co/wp-content/uploads/2025/05/PL07-1.jpg,MUZEM Bracelet with natural Emerald PL07 - Colombian Emerald Natural in Other,https://muzem.co/wp-content/uploads/2025/05/PL07-1.jpg,MUZEM Bracelet with natural Emerald PL07 - Colombian Emerald Natural in Other,2026-02-22 02:05:23,2026-02-22 02:05:23,,,Block after Info Column,,,,,,,,,,,,Colombia,"material=Other,emerald_type=Natural,jewelry_type=Bracelet,brand=Muzem Emeralds",1,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
MUZ-OTH-BRC-010,,Default,simple,Default Category/Bracelets/Fine Jewelry,base,Bracelet with natural Emerald PL08,"Beautiful bracelet featuring a natural Colombian emerald set in Other. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.","Beautiful bracelet featuring a natural Colombian emerald set in Other. Handcrafted by Muzem Emeralds, 4th generation family jewelry artisans.",0.1,1,Taxable Goods,"Catalog, Search",750.0,,,,muz-oth-brc-010,Bracelet with natural Emerald PL08 | Muzem Emeralds Colombia,"colombian-emerald, natural-stone, certified",Shop Bracelet with natural Emerald PL08 at Muzem Emeralds. Certified Colombian emeralds in Other. Free shipping in Colombia.,https://muzem.co/wp-content/uploads/2025/05/PL03_6c0o305xrym_2025-05-28-09-51-56.jpg,MUZEM Bracelet with natural Emerald PL08 - Colombian Emerald Natural in Other,https://muzem.co/wp-content/uploads/2025/05/PL03_6c0o305xrym_2025-05-28-09-51-56.jpg,MUZEM Bracelet with natural Emerald PL08 - Colombian Emerald Natural in Other,https://muzem.co/wp-content/uploads/2025/05/PL03_6c0o305xrym_2025-05-28-09-51-56.jpg,MUZEM Bracelet with natural Emerald PL08 - Colombian Emerald Natural in Other,https://muzem.co/wp-content/uploads/2025/05/PL03_6c0o305xrym_2025-05-28-09-51-56.jpg,MUZEM Bracelet with natural Emerald PL08 - Colombian Emerald Natural in Other,2026-02-22 02:05:23,2026-02-22 02:05:23,,,Block after Info Column,,,,,,,,,,,,Colombia,"material=Other,emerald_type=Natural,jewelry_type=Bracelet,brand=Muzem Emeralds",1,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,1,1,0,0,1,,,,,,,,,,,,,,,,,
